Benchmarks,sim_seconds,system.clk_domain.clock,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,host_mem_usage
+1024B,0.163038,1000,3.260763,0.007684,0.000010,0.982540,697440
+128B,0.339963,1000,6.799264,0.060920,0.000015,0.999872,701280
+2048B,0.154197,1000,3.083948,0.004024,0.000011,0.898133,697440
+256B,0.258786,1000,5.175715,0.030475,0.000011,0.998966,699488
+512B,0.197209,1000,3.944171,0.015264,0.000010,0.995518,698464
+L1d128kB,0.153800,1000,3.076006,0.003882,0.000011,0.962589,697444
+L1d4way,0.153606,1000,3.072121,0.003811,0.000011,0.998400,697440
+PicoL2512k,0.153622,1000,3.072433,0.003811,0.000021,0.996462,696672
baseline,0.704059,1000,7.040591,0.121831,0.000020,0.999970,706144
