Benchmarks,sim_seconds,system.clk_domain.clock,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,host_mem_usage
specbzip,0.083597,1000,1.671949,0.014794,0.000077,0.282192,703968
specmcf,0.064545,1000,1.290898,0.002130,0.023612,0.055107,702908
spechmmer,0.059383,1000,1.187656,0.001623,0.000221,0.078233,704528
specsjeng,0.493128,1000,9.862552,0.121831,0.000020,0.999970,706148
speclibm,0.171529,1000,3.430576,0.060971,0.000095,0.999942,708300
