Benchmarks,sim_seconds,system.clk_domain.clock,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total,host_mem_usage
+1024B,0.076824,1000,1.536480,0.003812,0.000211,0.996800,699596
+128B,0.129064,1000,2.581283,0.030487,0.000114,0.999790,703436
+2048B,0.074787,1000,1.495738,0.001907,0.000245,0.991511,699592
+256B,0.099532,1000,1.990631,0.015244,0.000136,0.999466,701644
+512B,0.085215,1000,1.704304,0.007623,0.000156,0.998729,700620
+MicroL2-Direct,0.074820,1000,1.496410,0.001912,0.000358,0.984249,697288
+NanoL2128k,0.074852,1000,1.497033,0.001912,0.000474,0.981984,697292
+PicoL1d16k,0.074898,1000,1.497951,0.001936,0.000489,0.962279,697292
baseline,0.262317,1000,2.623172,0.060971,0.000095,0.999940,708296
